Main,Code,Category,Description
Macroeconomics,100,General domestic macroeconomic issues (includes combinations of multiple subtopics).,"Examples: the governments economic plans, economic conditions and issues, economic growth and outlook, state of the economy, long-term economic needs, recessions, general economic policy, promote economic recovery and full employment, demographic changes, population trends, recession effects on regional and local economies, distribution of income, assuring an opportunity for employment to every person seeking work, standard of living."
Macroeconomics,101,"Inflation, prices, and interest rates.","Examples: inflation control and reduction, anti-inflation programs, calculation of inflation statistics and price index statistics, consumer price index (retail price index), food prices, cost of living, interest rates, government reports on inflation, effects of inflation on business, general economic statistics, delegation of responsibility for setting interest rates to the central bank (ie Bank of England)."
Macroeconomics,103,Unemployment rate.,"Examples: unemployment and employment statistics, economic and social impact of unemployment, national employment priorities, employment and labour market development, government reports on unemployment."
Macroeconomics,104,"Monetary Supply, Central Bank, and the Treasury.","Examples: monetary policy issues, Treasury and Central Bank (ie Bank of England) monetary policy reports, Treasury and Central Bank (ie Bank of England) budget requests and appropriations, credit availability, national savings (eg premium bonds), national savings rate, relationship between fiscal and monetary policies, control of gold supply, gold reserve issues, gold standard, foreign exchange holdings, savings bonds, treasury bonds."
Macroeconomics,105,National Budget and Debt.,"Examples: governments yearly budget proposals and authorizations (eg Finance Act, Appropriation Act, Consolidated Fund Act), national accounts (the Blue Book), public expenditure and borrowing, estimates, balanced budget, fiscal stability, budget process, government debt and deficit (eg public sector borrowing requirement), deficit reduction and management proposals, budget projections, increases in the public debt limit, impact of budget reductions on industries, regions and communities, move accounts off-budget, move accounts on-budget, public debt issues, including retirement of public debt, changes in fiscal year status, government spending reviews and strategic planning."
Macroeconomics,107,"Taxation, Tax policy, and Tax Reform.","Examples: national taxation of income, indirect taxation (eg Value Added Tax), local taxation (eg Rates, Poll Tax, Council Tax), national insurance contributions, taxation on property (stamp duty), taxes on profits of privatised utilities (windfall taxes), taxation of capital gains, clarification of tax code, tax code reform, luxury and excise taxes, estate and gift taxes (ie inheritance tax), corporate income taxes, collection procedures for government taxes, government tax proposals (eg the Budget) and authorization (eg Finance Act), income tax reform, tax treatment of charities, tax code reform and simplification, revenue acts, impact of taxes on business, multiple tax changes (excise and capital gains), general tax changes, charitable contribution deduction bills, domestic tax breaks for foreign businesses, tax credits, tax status of estates."
Macroeconomics,108,Industrial Policy.,"Examples: manufacturing strategy, technological capacity of industry, assistance to specific industries, national industrial policy, industry revitalization and growth, decline in national industrial productivity, plant closings and relocation, industrial reorganization, commission on productivity, industrialization centres, nationalisation, privatisation, public ownership of industry, renationalisation, public loans to business and industry."
Macroeconomics,110,Price Control and Stabilization.,"Examples: economic stabilization programs, wage-price control and freezes (eg incomes policy), administered pricing programs, emergency price controls."
Macroeconomics,199,Other,NA
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",200,General (includes combinations of multiple subtopics).,"Examples: constitutional, nationality and citizenship issues, civil rights violations, national and international legislation on human rights (eg European Convention on Human Rights, Human Rights Act), equal employment opportunity laws, discrimination against women and minorities, appropriations for civil rights programs, civil rights enforcement, coverage of human rights legislation (eg the Human Rights Act), employment discrimination involving several communities (age, gender, race, etc."
