Category,Code,Sub-category,Description
Macroeconomics,100,General Domestic Macroeconomic Issues (includes combinations of multiple subtopics).,"Examples: the administrations economic plans, economic conditions and issues, economic growth and outlook, state of the economy, long-term economic needs, recessions, general economic policy, promote economic recovery and full employment, demographic changes, population trends, recession effects on state and local economies, distribution of income, assuring an opportunity for employment to every American seeking work."
Macroeconomics,101,"Inflation, Prices, and Interest Rates.","Examples: inflation control and reduction, anti-inflation programs, calculation of inflation statistics and price index statistics, consumer price index, food prices, cost of living, interest rates, bureau of labor reports on inflation, effects of inflation on business, general economic statistics.."
Macroeconomics,103,Unemployment Rate.,"Examples: unemployment and employment statistics, economic and social impact of unemployment, national employment priorities, employment and labor market development, bureau of labor reports on unemployment."
Macroeconomics,104,"Monetary Supply, Federal Reserve Board, and the Treasury.","Examples: monetary policy issues, Federal Reserves yearly monetary policy reports, Department of Treasury and Federal Reserve Board budget requests and appropriations, credit availability, national savings rate, relationship between fiscal and monetary policies, control of gold supply, gold reserve issues, savings bonds, treasury bonds."
Macroeconomics,105,National Budget and Debt.,"Examples: administrations yearly budget proposals, balanced budget act and enforcement, budget process, federal debt and deficit, deficit reduction and management proposals, budget projections, increases in the public debt limit, concurrent budget resolutions, impact of budget reductions on industries, states and communities, move trust fund accounts off-budget, move trust fund accounts on-budget, public debt issues, including retirement of public debt, changes in fiscal year status.."
Macroeconomics,107,"Taxation, Tax policy, and Tax Reform.","Examples: state taxation of income, state and local income taxes, clarification of tax code, tax code reform, luxury and excise taxes, estate and gift taxes, corporate income taxes, administration tax proposals, income tax reform, tax treatment of charities, federal tax code reform and simplification, revenue acts, impact of taxes on business, multiple tax changes (excise and capital gains), general tax changes, charitable contribution deduction bills, domestic tax breaks for foreign businesses, omnibus tax issues, general legislation that amends the Internal Revenue Code."
Macroeconomics,108,Industrial Policy.,"Examples: manufacturing strategy, technological capacity of industry, assistance to specific industries, national industrial policy, industry revitalization and growth, decline  4    in US industrial productivity, plant closings and relocation, industrial reorganization, commission on productivity, industrialization centers."
Macroeconomics,110,Price Control and Stabilization.,"Examples: economic stabilization programs, wage-price control and freezes, administered pricing programs, emergency price controls.."
Macroeconomics,199,Other.,2
"Civil Rights, Minority Issues, and Civil Liberties",200,General (includes combinations of multiple subtopics).,"Examples: Civil Rights Commission appropriations, civil rights violations, Civil Rights Act, Equal Rights amendments, equal employment opportunity laws, discrimination against women and minorities, appropriations for civil rights programs, civil rights enforcement, coverage of the civil rights act, employment discrimination involving several communities (age, gender, race, etc in combination), taking private property, impact on private property rights, employment discrimination due to race, color, and religion, and fair housing initiatives and discrimination in housing.."
"Civil Rights, Minority Issues, and Civil Liberties",201,Ethnic Minority and Racial Group Discrimination.,"Examples: minority set aside programs, minority contracting and business development, appointment of minorities to federal judgeships, school desegregation, minority discrimination by rental car agencies, FBI hiring and promotion of minorities, race based crimes, investigation of the Ku Klux Klan.."
"Civil Rights, Minority Issues, and Civil Liberties",202,Gender and Sexual Orientation Discrimination.,"Examples: gender and sexual orientation discrimination in the military, social security inequities affecting women, employment barriers to women, female salary inequities, sex discrimination regulations, equal pay for women.."
"Civil Rights, Minority Issues, and Civil Liberties",204,Age Discrimination.,"Examples: age discrimination in employment, mandatory retirement ages, age discrimination in selection of federal judges, EEOC problems in enforcing age discrimination laws, retirement age policies.."
"Civil Rights, Minority Issues, and Civil Liberties",205,Handicap or Disease Discrimination.,"Examples: discrimination against the disabled, airline discrimination against blind people, employment of persons with disabilities, insurance discrimination of blind  5  people, civil rights of institutionalized persons and the mentally retarded, travel problems of the handicapped, discrimination based on genetics or health conditions, Americans with Disabilities Act.."
"Civil Rights, Minority Issues, and Civil Liberties",206,"Voting Rights, Participation, and Related Issues.","Examples: state discriminatory barriers to voting registration, banning literacy tests, Voting Rights Act and enforcement, free mailing of voter registration forms, lowering the voting age to 18, abolition of poll taxes.."
"Civil Rights, Minority Issues, and Civil Liberties",207,Freedom of Speech and Religion.,"Examples: amendments to the civil liberties act, religious freedom, physical desecration of the flag, school prayer, religious speech protection, anti-obscenity legislation.."
"Civil Rights, Minority Issues, and Civil Liberties",208,Right to Privacy and Access to Government Information.,"Examples: privacy of consumer and worker records, employee drug and polygraph testing, computer access and security, police wiretapping, privacy of medical records, access to government records and information, disclosure and confidentiality standards for government information, electronic funds transfer and financial privacy, security and privacy of criminal arrest records, Freedom of Information Act (FOIA), dissemination of USIA films, programs or information within the US or at museums, protection of womens abortion rights.."
"Civil Rights, Minority Issues, and Civil Liberties",209,Anti.,"Examples: theory and practice of Communism, subversive activities control act, investigate the activities of the Black Panther Party, internal security laws, investigation of the Students for a Democratic Society, investigation of anti-Vietnam War protesters, investigation of the activities of the New Left, communist involvement in urban race riots, investigation of the Communist Party of Puerto Rico, investigation of student unrest at various universities, investigation of communist youth activities, establishing agencies to educate the public on the tactics of communist subversives, investigate the scope of Soviet activity in the US, investigate communist infiltration of education institutions and the US military.."
