Primary,Related,Description
103,502,solutions to unemployment problems.
103,503,solutions to unemployment problems.
104,1501,Federal Reserve banking issues.
104,1808,exchange rates
108,1403,economic development programs.
108,1806,international business competition
301,334,long-term health care reform
301,302,insurance reform.
302,331,specific benefits
302,332,specific benefits
302,333,specific benefits
302,334,specific benefits
302,335,specific benefits
302,336,specific benefits
302,334,long-term care insurance.
321,335,prescription drug costs
321,398,research
321,1520,for antitrust issues.
322,323,payments to providers
322,325,teaching hospitals.
323,302,insurer or managed care consumer protections.
323,325,workforce training programs
324,325,physician certification and licensing.
325,324,"Malpractice issues, 323 compensation and regulation of health care providers."
331,208,right to privacy
331,341,drug and tobacco programs.
331,342,drug and tobacco programs.
331,343,drug and tobacco programs.
331,344,drug and tobacco programs.
332,208,abortion related issues.
332,331,health education programs
333,322,reviews of hospital psychiatric programs.
333,324,misuse of federal funds for mental health care
335,321,regulation of drug industry.
342,344,drug and alcohol abuse.
343,321,drug safety.
343,1203,drug trafficking
344,342,alcohol abuse and treatment
344,343,illegal drug abuse and treatment.
401,1502,agricultural commodities trading.
401,1800,general foreign trade
402,1404,farm real estate financing.
403,401,inspections of food imports.
405,704,pollution effects of pesticides
405,403,pesticide residues on foods.
503,300,employee health benefits and access to coverage.
503,301,employee health benefits and access to coverage.
503,302,employee health benefits and access to coverage.
503,321,employee health benefits and access to coverage.
503,322,employee health benefits and access to coverage.
503,323,employee health benefits and access to coverage.
503,324,employee health benefits and access to coverage.
503,325,employee health benefits and access to coverage.
503,331,employee health benefits and access to coverage.
503,332,employee health benefits and access to coverage.
503,333,employee health benefits and access to coverage.
503,334,employee health benefits and access to coverage.
503,335,employee health benefits and access to coverage.
503,336,employee health benefits and access to coverage.
503,341,employee health benefits and access to coverage.
503,342,employee health benefits and access to coverage.
503,343,employee health benefits and access to coverage.
503,344,employee health benefits and access to coverage.
503,398,employee health benefits and access to coverage.
503,2004,federal employee benefits
504,1926,International Labor Organization.
504,1202,illegal activities of labor unions
506,501,child labor safety.
530,1524,tourism
530,1929,passport issues.
603,201,school desegregation efforts.
607,602,"general reform efforts aimed at increasing the quality of education (eg, NCLB), teacher certification standards for all teachers."
609,1798,NSF funding.
609,1707,public broadcasting
699,2103,school land conveyances.
710,711,"pollution in small lakes, rivers, and streams and/or watershed protection."
710,2104,water resources development
711,2104,water development projects.
800,2104,energy and water development projects.
801,704,nuclear waste.
801,1614,defense related nuclear waste
801,501,nuclear worker safety
803,2103,mineral resources of the outer continental shelf
803,710,oil spills.
1000,1003,budget requests and appropriations for FAA and CAB.
1006,705,"automobile emissions regulation, automobile CAFE standards."
1007,1915,Panama Canal
1007,1902,international fishing and wildlife agreements
1007,2104,port development and construction.
1010,800,energy projects
1010,2104,water projects.
1202,1203,drug related money laundering.
1203,1202,general money laundering (non-drug related).
1211,1208,domestic violence.
1300,300,HEW appropriations specific to health
1300,600,HEW appropriations specific to education.
1301,331,the role of diets in disease prevention.
1304,205,handicapped access to federal buildings.
1305,1929,Peace Corps.
